# 364 Irregular verbs + 3 Regular
# A
arise,	arose,	arisen
strive,	(strove, strived),	(striven, strived)
sublet,	sublet,	sublet
sunburn,	(sunburned, sunburnt),	(sunburned, sunburnt)
swear,	swore,	sworn
sweat,	(sweat, sweated),	(sweat, sweated)
sweep,	swept,	swept
swell,	swelled,	(swollen, swelled)
swim,	swam,	swum
swing,	swung,	swung
# T
take,	took,	taken
teach,	taught,	taught
tear,	tore,	torn
telecast,	telecast,	telecast
tell,	told,	told
test-drive,	test-drove,	test-driven
test-fly,	test-flew,	test-flown
think,	thought,	thought
throw,	threw,	thrown
thrust,	thrust,	thrust
tread,	trod,	(trodden, trod)
typecast,	typecast,	typecast
typeset,	typeset,	typeset
typewrite,	typewrote,	typewritten
# U
unbend,	unbent,	unbent
unbind,	unbound,	unbound
unclothe,	(unclothed, unclad),	(unclothed, unclad)
underbid,	underbid,	underbid
undercut,	undercut,	undercut
underfeed,	underfed,	underfed
undergo,	underwent,	undergone
underlie,	underlay,	underlain
undersell,	undersold,	undersold
underspend,	underspent,	underspent
understand,	understood,	understood
undertake,	undertook,	undertaken
underwrite,	underwrote,	underwritten
undo,	undid,	undone
unfreeze,	unfroze,	unfrozen
unhang,	unhung,	unhung
unhide,	unhid,	unhidden
unknit,	(unknitted, unknit),	(unknitted, unknit)
unlearn,	(unlearned, unlearnt),	(unlearned, unlearnt)
unsew,	unsewed,	(unsewn, unsewed)
unsling,	unslung,	unslung
unspin,	unspun,	unspun
unstick,	unstuck,	unstuck
unstring,	unstrung,	unstrung
unweave,	(unwove, unweaved),	(unwoven, unweaved)
unwind,	unwound,	unwound
uphold,	upheld,	upheld
upset,	upset,	upset
# W
wake,	(woke, waked),	(woken, waked)
waylay,	waylaid,	waylaid
wear,	wore,	worn
weave,	(wove, weaved),	(woven, weaved)
wed,	(wed, wedded),	(wed, wedded)
weep,	wept,	wept
wet,	(wet, wetted),	(wet, wetted)
whet	# REGULAR whetted / whetted
win,	won,	won
wind,	wound,	wound
withdraw,	withdrew,	withdrawn
withhold,	withheld,	withheld
withstand,	withstood,	withstood
wring,	wrung,	wrung
write,	wrote,	written
dye /I0
abide
accelerate
accept
accomplish
achieve
acquire
act
activate
adapt
add
address
administer
admire
admit
adopt
advise
afford
agree
alert
alight
allow
alter
amuse
analyze
announce
annoy
answer
anticipate
apologize
appear
applaud
apply
appoint
appraise
appreciate
approve
arbitrate
argue
arise
arrange
arrest
arrive
ascertain
ask
assemble
assess
assist
assure
attach
attack
attain
attempt
attend
attract
audit
avoid
awake
back
bake
balance
ban
bang
bare
bat
bathe
battle
be
beam
bear
beat
become
beg
begin
behave
behold
belong
bend
beset
bet
bid
bind
bite
bleach
bleed
bless
blind
blink
blot
blow
blush
boast
boil
bolt
bomb
book
bore
borrow
bounce
bow
box
brake
branch
break
breathe
breed
brief
bring
broadcast
bruise
brush
bubble
budget
build
bump
burn
burst
bury
bust
buy
buze
calculate
call
camp
care
carry
carve
cast
catalog
catch
cause
challenge
change
charge
chart
chase
cheat
check
cheer
chew
choke
choose
chop
claim
clap
clarify
classify
clean
clear
cling
clip
close
clothe
coach
coil
collect
color
comb
come
command
communicate
compare
compete
compile
complain
complete
compose
compute
conceive
concentrate
conceptualize
concern
conclude
conduct
confess
confront
confuse
connect
conserve
consider
consist
consolidate
construct
consult
contain
continue
contract
control
convert
coordinate
copy
correct
correlate
cost
cough
counsel
count
cover
crack
crash
crawl
create
creep
critique
cross
crush
cry
cure
curl
curve
cut
cycle
dam
damage
dance
dare
deal
decay
deceive
decide
decorate
define
delay
delegate
delight
deliver
demonstrate
depend
depress
describe
desert
deserve
design
destroy
detail
detect
determine
develop
devise
diagnose
die
dig
direct
disagree
disappear
disapprove
disarm
discover
dislike
dispense
display
disprove
dissect
distribute
dive
divert
divide
do
double
doubt
draft
drag
drain
dramatize
draw
dream
dress
drink
drip
drive
drop
drown
drum
dry
dust
dwell
earn
eat
edit
educate
eliminate
embarrass
employ
empty
enact
encourage
end
endure
enforce
engineer
enhance
enjoy
enlist
ensure
enter
entertain
escape
establish
estimate
evaluate
examine
exceed
excite
excuse
execute
exercise
exhibit
exist
expand
expect
expedite
experiment
explain
explode
express
extend
extract
face
facilitate
fade
fail
fancy
fasten
fax
fear
feed
feel
fence
fetch
fight
file
fill
film
finalize
finance
find
fire
fit
fix
flap
flash
flee
fling
float
flood
flow
flower
fly
fold
follow
fool
forbid
force
forecast
forego
foresee
foretell
forget
forgive
form
formulate
forsake
frame
freeze
frighten
fry
gather
gaze
generate
get
give
glow
glue
go
govern
grab
graduate
grate
grease
greet
grin
grind
grip
groan
grow
guarantee
guard
guess
guide
hammer
hand
handle
handwrite
hang
happen
harass
harm
hate
haunt
head
heal
heap
hear
heat
help
hide
hit
hold
hook
hop
hope
hover
hug
hum
hunt
hurry
hurt
hypothesize
identify
ignore
illustrate
imagine
implement
impress
improve
improvise
include
increase
induce
influence
inform
initiate
inject
injure
inlay
innovate
input
inspect
inspire
install
institute
instruct
insure
integrate
intend
intensify
interest
interfere
interlay
interpret
interrupt
interview
introduce
invent
inventory
investigate
invite
irritate
itch
jail
jam
jog
join
joke
judge
juggle
jump
justify
keep
kept
kick
kill
kiss
kneel
knit
knock
knot
know
label
land
last
laugh
launch
lay
lead
lean
leap
learn
leave
lecture
led
lend
let
level
license
lick
lie
lift
light
lighten
like
list
listen
live
load
locate
lock
log
long
look
lose
love
maintain
make
man
manage
manipulate
manufacture
map
march
mark
market
marry
match
mate
matter
mean
measure
meddle
mediate
meet
melt
memorize
mend
mentor
milk
mine
mislead
miss
misspell
mistake
misunderstand
mix
moan
model
modify
monitor
moor
motivate
mourn
move
mow
muddle
mug
multiply
murder
nail
name
navigate
need
negotiate
nest
nod
nominate
normalize
note
notice
number
obey
object
observe
obtain
occur
offend
offer
officiate
open
operate
order
organize
orient
originate
overcome
overdo
overdraw
overflow
overhear
overtake
overthrow
owe
own
pack
paddle
paint
park
part
participate
pass
paste
pat
pause
pay
peck
pedal
peel
peep
perceive
perfect
perform
permit
persuade
phone
photograph
pick
pilot
pinch
pine
pinpoint
pioneer
place
plan
plant
play
plead
please
plug
point
poke
polish
pop
possess
post
pour
practice
praise
pray
preach
precede
predict
prefer
prepare
prescribe
present
preserve
preset
preside
press
pretend
prevent
prick
print
process
procure
produce
profess
program
progress
project
promise
promote
proofread
propose
protect
prove
provide
publicize
pull
pump
punch
puncture
punish
purchase
push
put
qualify
question
queue
quit
race
radiate
rain
raise
rank
rate
reach
read
realign
realize
reason
receive
recognize
recommend
reconcile
record
recruit
reduce
refer
reflect
refuse
regret
regulate
rehabilitate
reign
reinforce
reject
rejoice
relate
relax
release
rely
remain
remember
remind
remove
render
reorganize
repair
repeat
replace
reply
report
represent
reproduce
request
rescue
research
resolve
respond
restore
restructure
retire
retrieve
return
review
revise
rhyme
rid
ride
ring
rinse
rise
risk
rob
rock
roll
rot
rub
ruin
rule
run
rush
sack
sail
satisfy
save
saw
say
scare
scatter
schedule
scold
scorch
scrape
scratch
scream
screw
scribble
scrub
seal
search
secure
see
seek
select
sell
send
sense
separate
serve
service
set
settle
sew
shade
shake
shape
share
shave
shear
shed
shelter
shine
shiver
shock
shoe
shoot
shop
show
shrink
shrug
shut
sigh
sign
signal
simplify
sin
sing
sink
sip
sit
sketch
ski
skip
slap
slay
sleep
slide
sling
slink
slip
slit
slow
smash
smell
smile
smite
smoke
snatch
sneak
sneeze
sniff
snore
snow
soak
solve
soothe
soothsay
sort
sound
sow
spare
spark
sparkle
speak
specify
speed
spell
spend
spill
spin
spit
split
spoil
spot
spray
spread
spring
sprout
squash
squeak
squeal
squeeze
stain
stamp
stand
stare
start
stay
steal
steer
step
stick
stimulate
sting
stink
stir
stitch
stop
store
strap
streamline
strengthen
stretch
stride
strike
string
strip
strive
stroke
structure
study
stuff
sublet
subtract
succeed
suck
suffer
suggest
suit
summarize
supervise
supply
support
suppose
surprise
surround
suspect
suspend
swap
swear
sweat
sweep
swell
swim
swing
switch
symbolize
synthesize
systemize
tabulate
take
talk
tame
tap
target
taste
teach
tear
tease
telephone
tell
tempt
terrify
test
thank
thaw
think
thrive
throw
thrust
tick
tickle
tie
time
tip
tire
touch
tour
tow
trace
trade
train
transcribe
transfer
transform
translate
transport
trap
travel
tread
treat
tremble
trick
trip
trot
trouble
troubleshoot
trust
try
tug
tumble
turn
tutor
twist
type
undergo
understand
undertake
undress
unfasten
unify
unite
unlock
unpack
untidy
update
upgrade
uphold
upset
use
utilize
vanish
verbalize
verify
vex
visit
wail
wait
wake
walk
wander
want
warm
warn
wash
waste
watch
water
wave
wear
weave
wed
weep
weigh
welcome
wend
wet
whine
whip
whirl
whisper
whistle
win
wind
wink
wipe
wish
withdraw
withhold
withstand
wobble
wonder
work
worry
wrap
wreck
wrestle
wriggle
wring
write
x-ray
yawn
yell
zip
zoom
